.png,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
日期,World(exc CN),China,Italy,South Korea,Iran,Spain,France,Germany,International,US,Japan,Switzerland,UK,Netherlands,Sweden,Norway,Denmark,Singapore,Belgium,Austria,Malaysia,Australia,Thailand,Bahrain,Canada,Qatar,Kuwait,Greece
color,0xEE1C25,0xFF9A32,0xde8d92,0xdabac1,0x9f6575,0xF9CF02,0x845779,0xde8a91,0xDCD5DD,0x905d7b,0xAE5BAB,0xF1C300,0xF2F2F2,0x8b8673,0x8c6d7c,0x834327,0x0588E6,0xc94232,0x5A6CC4,0xe45857,0xFF9742,0x2e1a7d,0x293072,0x834327,0x0588E6,0xc94232,0x5A6CC4,0xe45857
3月5日,14759,80565,3089,5766,2922,198,282,262,706,129,317,56,89,38,35,56,10,110,23,37,50,57,47,49,30,8,58,9
3月6日,17481,80711,3858,6284,3513,257,420,534,696,148,349,86,118,82,61,86,18,117,50,47,55,57,47,49,45,8,58,32
3月7日,21114,80813,4636,6767,4747,374,613,639,696,213,408,209,167,128,137,113,23,130,109,66,83,62,48,49,51,11,58,32
3月8日,24733,80859,5883,7134,5823,430,706,795,696,213,455,264,210,188,161,147,31,138,169,104,93,74,50,56,57,12,62,66
3月9日,28673,80904,7375,7382,6566,589,1116,1112,696,213,488,332,277,265,203,169,36,150,200,112,93,77,50,79,62,15,64,73
3月10日,32778,80924,9172,7513,7161,1024,1402,1139,696,472,514,332,323,321,248,192,90,160,239,131,117,92,53,109,77,18,65,73
3月11日,37364,80955,10149,7755,8042,1639,1774,1296,696,696,568,491,373,382,326,277,262,166,267,182,129,112,59,110,93,24,69,89
3月12日,44279,80981,12462,7869,9000,2140,2269,1567,696,987,620,645,460,503,461,489,615,178,314,302,129,122,70,189,93,262,80,98
3月13日,51767,80991,15113,7979,10075,2965,2860,2369,696,1264,675,858,594,614,620,489,674,187,314,361,129,140,75,195,138,262,80,98
3月14日,61518,81021,17660,8086,11364,4231,3640,3062,697,1678,716,1125,802,804,775,750,801,200,599,504,197,197,75,210,176,262,100,98
3月15日,72475,81048,21157,8162,12729,5753,4469,3795,697,1678,780,1359,1144,959,924,907,827,212,689,800,238,249,75,211,244,337,112,228
3月15日,72475,81048,21157,8162,12729,5753,4469,3795,697,1678,780,1359,1144,959,924,907,827,212,689,800,238,249,75,211,244,337,112,228
3月15日,72475,81048,21157,8162,12729,5753,4469,3795,697,1678,780,1359,1144,959,924,907,827,212,689,800,238,249,75,211,244,337,112,228
3月16日,86425,81077,24747,8236,14991,7753,5380,4838,712,1678,814,2200,1395,1135,992,1077,898,243,1085,959,553,298,114,221,304,401,112,331
3月16日,86425,81077,24747,8236,14991,7753,5380,4838,712,1678,814,2200,1395,1135,992,1077,898,243,1085,959,553,298,114,221,304,401,112,331
3月16日,86425,81077,24747,8236,14991,7753,5380,4838,712,1678,814,2200,1395,1135,992,1077,898,243,1085,959,553,298,114,221,304,401,112,331
3月17日,107158,81135,29022,8320,16169,11178,6633,7840,820,5010,880,2269,1950,1705,1119,1331,914,266,1243,1016,673,449,177,265,436,439,130,352
3月17日,107158,81135,29022,8320,16169,11178,6633,7840,820,5010,880,2269,1950,1705,1119,1331,914,266,1243,1016,673,449,177,265,436,439,130,352
3月17日,107158,81135,29022,8320,16169,11178,6633,7840,820,5010,880,2269,1950,1705,1119,1331,914,266,1243,1016,673,449,177,265,436,439,130,352
3月17日,107158,81135,29022,8320,16169,11178,6633,7840,820,5010,880,2269,1950,1705,1119,1331,914,266,1243,1016,673,449,177,265,436,439,130,352
3月17日,107158,81135,29022,8320,16169,11178,6633,7840,820,5010,880,2269,1950,1705,1119,1331,914,266,1243,1016,673,449,177,265,436,439,130,352
3月17日,107158,81135,29022,8320,16169,11178,6633,7840,820,5010,880,2269,1950,1705,1119,1331,914,266,1243,1016,673,449,177,265,436,439,130,352
